student_id,gender,age,department,cgpa,backlogs,attendance_percentage,programming_skills,dsa_skills,core_subjects,projects_completed,internships,certifications,communication_skills,leadership,teamwork,hackathons,extracurricular_score,aptitude_score,interview_score,resume_score,mock_interview_score,placement_status,package_lpa
1982,Female,24,Civil,8.95,1,79.57,1,10,2,3,0,3,5,2,1,4,10,91,69,1,10,0,0.0
1983,Female,24,Civil,6.65,0,62.8,3,9,3,5,1,1,6,8,8,2,8,68,80,5,4,0,0.0
1984,Male,20,Civil,7.05,1,98.13,4,8,1,1,2,3,4,1,5,4,5,31,85,4,9,0,0.0
1985,Female,21,CSE,6.24,2,82.91,4,6,10,1,2,0,8,7,4,3,9,33,31,5,9,0,0.0
1986,Female,23,EEE,8.68,2,69.81,2,9,3,3,0,5,7,6,4,3,8,50,72,6,3,0,0.0
1987,Female,20,Civil,6.83,4,71.7,9,8,7,4,1,2,2,9,5,1,10,67,70,5,6,1,8.35
1988,Female,23,IT,8.62,0,99.23,8,7,8,2,1,0,6,7,7,4,9,34,72,2,9,1,7.03
1989,Male,20,Civil,5.09,4,84.62,3,6,6,5,3,4,6,8,6,3,7,31,75,8,6,0,0.0
1990,Male,24,EEE,5.65,1,76.83,2,10,1,1,1,0,4,2,7,2,9,88,34,9,9,0,0.0
1991,Female,23,ECE,6.75,2,79.99,1,3,7,2,0,0,6,10,4,2,5,64,75,7,5,0,0.0
1992,Male,24,ECE,5.52,2,63.94,10,6,3,1,2,4,10,4,1,4,3,64,86,7,9,1,9.46
1993,Male,23,CSE,7.89,3,63.0,9,4,9,0,1,0,9,9,4,3,4,43,52,3,10,1,7.98
1994,Male,22,EEE,5.24,3,83.71,5,5,2,4,2,5,10,7,3,1,2,83,94,3,6,1,6.77
1995,Male,20,IT,9.13,4,80.48,8,7,9,1,0,1,9,2,10,2,2,70,36,2,2,1,8.93
1996,Male,22,EEE,8.65,0,74.37,4,7,10,0,3,0,1,1,6,4,2,54,35,4,10,0,0.0
1997,Female,20,IT,6.04,1,82.64,2,9,2,4,3,5,7,3,8,3,2,50,94,9,6,0,0.0
1998,Male,21,IT,7.32,4,62.91,5,9,2,5,1,4,4,6,3,1,1,79,74,4,8,1,11.98
1999,Male,23,EEE,7.17,2,97.76,8,6,4,1,2,0,2,10,8,2,4,93,50,1,7,1,4.66
2000,Male,21,Mechanical,8.48,2,71.75,6,6,2,4,2,4,8,5,2,4,5,41,61,5,3,1,12.27
2001,Male,21,EEE,6.93,2,62.87,8,2,7,1,0,3,10,1,7,0,7,60,67,2,5,1,3.97
2002,Female,20,IT,5.16,1,66.78,3,8,3,3,3,4,3,3,3,4,6,60,42,8,8,0,0.0
2003,Female,22,Civil,6.31,4,63.82,5,3,4,1,0,2,2,10,10,4,2,32,67,10,5,0,0.0
2004,Female,24,ECE,7.24,1,67.14,2,1,1,1,1,1,9,5,3,4,7,63,73,4,9,1,10.62
2005,Female,20,ECE,9.68,5,76.67,3,4,10,0,0,0,5,9,8,2,5,76,98,9,6,1,6.29
2006,Male,24,CSE,9.23,2,89.52,7,5,4,3,2,1,8,10,10,2,1,50,48,5,8,1,9.23
2007,Female,21,ECE,5.87,3,70.89,1,3,4,2,1,5,8,10,2,2,1,50,55,9,5,0,0.0
2008,Male,24,Mechanical,8.47,4,77.44,8,7,4,4,1,0,4,5,9,4,5,30,89,1,2,0,0.0
2009,Male,22,IT,9.5,3,97.15,5,5,9,2,3,5,3,10,8,4,2,58,88,2,2,1,7.41
2010,Male,20,EEE,5.04,4,71.83,2,10,3,2,0,5,6,1,4,3,8,59,83,7,5,0,0.0
2011,Male,22,EEE,8.46,2,91.79,3,5,7,3,0,3,7,9,9,3,3,98,43,1,9,1,5.15
2012,Male,22,Mechanical,7.2,3,66.31,4,6,4,3,1,1,7,3,1,1,3,81,39,9,2,1,12.26
2013,Female,20,ECE,8.27,3,67.13,2,6,1,3,1,0,5,8,10,0,10,31,98,3,9,0,0.0
2014,Female,22,IT,7.91,4,78.25,10,9,10,0,0,3,7,1,9,2,10,97,48,7,1,1,7.82
2015,Female,23,ECE,9.73,5,69.36,5,3,3,0,0,2,2,9,8,0,8,87,46,4,4,1,9.34
2016,Female,23,CSE,6.39,5,96.12,7,8,9,4,3,5,9,3,8,2,1,31,35,1,5,1,10.74
2017,Male,23,ECE,8.77,3,62.03,9,7,10,3,2,0,3,7,1,3,1,62,40,4,9,1,6.85
2018,Female,24,CSE,6.13,3,83.89,1,9,6,2,1,3,1,7,8,1,7,96,75,8,7,0,0.0
2019,Male,22,EEE,7.09,2,84.17,10,5,8,4,2,5,3,6,1,0,1,68,84,9,1,1,4.49
2020,Female,20,IT,9.68,4,62.64,6,7,9,0,1,2,5,2,10,4,7,49,61,1,8,1,12.63
2021,Male,20,Civil,8.68,4,89.3,6,8,8,1,0,2,1,10,1,3,10,69,63,8,10,0,0.0
2022,Male,24,CSE,6.52,0,78.76,1,9,5,1,0,2,6,1,2,1,4,70,30,6,7,0,0.0
2023,Female,20,ECE,7.97,4,88.92,2,8,6,4,0,0,1,3,2,2,8,49,91,10,4,0,0.0
2024,Male,23,ECE,5.24,2,93.08,8,2,10,0,2,3,10,7,5,2,1,43,52,7,1,1,13.47
2025,Male,22,EEE,6.28,3,72.92,6,6,2,4,2,0,6,8,7,1,10,90,47,2,3,1,10.93
2026,Female,20,Mechanical,8.45,0,79.38,1,4,9,0,2,4,10,10,6,2,9,72,96,2,9,1,9.63
2027,Male,20,Civil,7.74,3,70.43,10,4,6,3,2,5,1,5,4,2,9,96,90,6,2,1,6.67
2028,Female,21,Mechanical,7.25,4,68.06,10,9,8,1,0,1,8,10,1,4,6,93,87,8,7,1,10.61
2029,Female,21,ECE,8.32,1,60.02,6,7,7,2,2,3,2,3,5,2,2,39,47,5,9,0,0.0
2030,Female,21,Mechanical,6.91,3,98.55,10,6,10,3,2,5,2,3,4,0,6,32,85,1,1,0,0.0
2031,Male,22,Civil,5.13,5,77.64,7,2,2,2,0,5,2,3,9,1,10,43,72,10,1,0,0.0
2032,Male,23,Civil,7.12,4,60.52,2,1,2,4,3,3,1,4,6,1,10,62,78,1,8,0,0.0
2033,Male,23,IT,9.33,5,60.36,4,10,5,1,2,0,2,7,5,4,8,62,92,4,7,0,0.0
2034,Female,23,Mechanical,9.11,2,71.53,7,4,3,2,1,4,8,7,4,3,9,81,31,10,1,1,5.91
2035,Male,22,IT,6.96,5,60.56,6,9,1,5,0,3,8,9,5,3,5,45,37,10,5,1,4.79
2036,Female,22,ECE,5.11,4,74.98,8,4,10,4,3,4,6,1,3,2,9,73,47,4,1,1,12.62
2037,Female,21,ECE,8.05,0,62.52,6,2,3,0,2,1,4,5,8,1,5,89,49,9,7,1,11.27
2038,Male,20,ECE,8.56,5,61.57,2,8,7,3,2,3,10,7,9,0,2,89,86,1,4,1,6.4
2039,Female,24,EEE,6.41,1,86.78,1,6,10,0,2,5,4,4,1,0,3,55,49,10,3,0,0.0
2040,Male,24,Mechanical,7.29,1,96.27,5,1,9,3,0,5,8,10,5,2,3,68,36,8,8,1,5.25
2041,Male,20,CSE,9.76,1,76.38,10,4,4,1,2,4,8,4,6,3,4,81,44,1,7,1,11.81
2042,Male,21,Civil,7.77,5,93.47,10,10,8,2,3,4,8,4,3,2,6,88,68,6,7,1,3.1
2043,Male,20,CSE,6.69,2,61.17,9,5,6,0,3,4,10,5,3,3,9,68,87,7,1,1,3.2
2044,Male,20,ECE,8.01,1,91.11,2,1,4,0,3,4,4,2,6,4,6,57,47,4,7,0,0.0
2045,Female,24,Mechanical,5.86,3,62.51,7,2,3,2,2,5,2,1,8,4,7,70,65,3,1,0,0.0
2046,Female,21,IT,5.96,2,93.54,9,9,5,2,2,0,3,6,2,4,4,69,31,10,7,1,5.16
2047,Female,22,CSE,9.44,4,95.29,4,1,3,4,0,3,3,2,10,1,6,33,98,3,2,0,0.0
2048,Male,24,ECE,6.15,0,91.44,4,8,8,3,0,0,6,7,7,3,1,44,84,10,7,0,0.0
2049,Male,22,CSE,6.49,2,92.83,10,9,6,5,1,4,1,10,1,3,4,50,96,8,6,0,0.0
2050,Male,21,CSE,7.61,0,82.46,5,2,6,5,3,2,1,8,1,1,8,80,38,6,8,0,0.0
2051,Female,20,Civil,9.32,2,70.6,6,2,7,4,2,3,3,10,2,4,9,89,89,6,8,1,7.06
2052,Male,23,CSE,8.75,4,85.73,7,7,7,0,1,0,3,3,9,1,3,98,31,8,6,1,8.0
2053,Female,23,ECE,5.21,0,77.58,9,10,8,2,0,4,2,9,5,2,3,96,96,7,2,1,10.52
2054,Female,21,Civil,8.33,2,60.21,6,9,5,1,1,4,4,7,1,4,8,95,60,3,1,1,9.44
2055,Male,23,ECE,7.42,0,79.07,3,10,5,0,0,3,5,5,6,3,2,40,63,4,9,0,0.0
2056,Male,22,EEE,7.28,1,86.05,2,9,6,0,1,1,3,4,2,2,1,63,32,1,10,0,0.0
2057,Female,23,EEE,8.32,1,60.56,6,3,4,5,0,3,7,7,9,2,9,74,56,10,6,1,10.37
2058,Male,21,EEE,5.94,5,84.85,9,7,2,3,1,0,10,6,7,4,6,50,48,2,1,1,13.96
2059,Female,21,CSE,9.71,1,86.1,3,6,2,4,2,1,10,6,1,1,3,32,66,7,6,1,3.51
2060,Male,22,Mechanical,8.1,3,66.32,4,8,2,5,3,3,5,2,4,3,8,83,82,4,1,1,3.99
2061,Male,23,ECE,6.76,1,77.24,3,8,2,3,3,5,4,4,10,4,1,71,67,6,1,0,0.0
2062,Female,23,EEE,7.88,1,98.57,7,8,5,0,3,3,2,8,1,2,4,79,38,5,3,1,11.17
2063,Male,20,Mechanical,6.04,4,95.37,4,8,2,2,1,3,9,7,7,2,9,41,55,2,4,0,0.0
2064,Female,24,EEE,8.04,0,76.43,6,10,7,1,2,5,3,3,5,2,3,87,70,2,9,1,13.73
2065,Male,21,EEE,5.14,0,73.99,6,6,4,3,2,5,9,4,5,2,1,62,42,5,2,1,7.62
2066,Female,20,Mechanical,6.64,1,64.96,9,9,10,5,3,2,1,3,9,1,7,33,99,7,9,0,0.0
2067,Female,21,EEE,8.59,0,61.41,5,5,5,0,3,5,3,10,7,3,7,99,49,10,7,1,11.12
2068,Male,20,CSE,8.88,2,71.9,7,4,2,5,3,3,10,9,4,1,7,61,75,6,2,1,14.74
2069,Female,24,CSE,6.21,5,97.61,1,7,1,5,3,0,4,7,1,4,8,30,49,6,7,0,0.0
2070,Male,20,Civil,7.59,1,98.34,8,3,9,4,1,4,3,8,4,1,6,72,85,1,8,1,8.17
2071,Male,21,CSE,7.54,5,92.5,2,8,6,3,0,0,6,5,8,4,10,87,45,3,9,0,0.0
2072,Male,23,IT,7.02,1,74.03,4,8,5,0,3,3,7,5,1,0,7,34,58,5,2,0,0.0
2073,Female,21,Civil,6.1,3,65.75,10,5,5,4,2,1,9,1,10,0,7,64,83,6,2,1,5.09
2074,Female,22,EEE,8.38,5,83.82,7,10,2,4,1,2,9,9,7,4,9,85,80,6,10,1,14.73
2075,Male,22,IT,6.21,2,85.86,6,8,8,1,1,2,7,9,6,1,7,49,36,7,9,1,11.68
2076,Male,22,ECE,9.37,1,76.98,4,3,4,2,3,5,10,4,3,4,4,59,93,4,5,1,5.85
2077,Female,22,Mechanical,7.54,1,87.67,8,3,4,1,2,2,7,1,10,2,3,30,43,3,10,1,10.37
2078,Male,24,ECE,9.18,0,89.87,7,4,8,4,0,5,10,3,7,1,2,80,70,10,7,1,10.72
2079,Male,23,IT,6.4,1,91.32,6,9,4,3,2,1,3,5,8,0,4,91,93,10,2,1,7.84
2080,Female,23,CSE,8.87,5,80.09,5,5,1,5,3,1,8,6,2,3,6,83,30,7,7,1,11.5
2081,Male,21,EEE,5.55,5,91.67,5,6,4,2,3,1,2,9,8,0,2,79,37,8,1,0,0.0
2082,Female,20,Civil,8.68,1,61.02,7,4,10,4,1,1,4,8,10,3,5,87,80,2,8,1,8.03
2083,Male,21,EEE,6.86,1,87.22,6,9,1,2,1,0,3,8,6,4,3,44,35,6,7,0,0.0
2084,Female,21,CSE,7.26,1,69.43,4,4,6,3,2,4,9,1,5,4,9,95,47,1,8,1,14.74
2085,Male,21,EEE,5.8,3,70.82,7,3,2,0,0,1,6,10,10,2,7,38,70,9,7,0,0.0
2086,Male,21,Mechanical,5.09,2,63.65,5,2,9,0,2,5,7,7,5,0,2,69,98,7,5,1,9.71
2087,Female,23,Mechanical,8.2,5,67.7,7,3,10,4,2,4,6,7,7,0,2,61,34,8,10,1,5.53
2088,Male,20,Mechanical,7.82,3,99.68,7,1,4,4,2,3,8,4,4,4,9,34,95,4,9,1,6.41
2089,Female,21,ECE,7.99,0,76.62,2,8,8,1,0,4,1,8,10,4,10,64,47,8,6,0,0.0
2090,Male,23,CSE,6.22,4,97.11,4,1,2,4,2,3,7,7,1,2,1,76,66,8,5,1,11.96
2091,Female,21,Mechanical,6.15,1,66.52,10,6,5,0,3,2,6,1,5,1,8,37,32,8,10,1,6.88
2092,Female,22,IT,8.99,5,68.16,4,2,8,0,3,3,1,10,7,4,6,96,71,5,3,1,9.71
2093,Female,21,Mechanical,8.65,0,82.31,7,3,1,1,2,0,1,5,10,2,4,96,57,9,6,1,10.89
2094,Female,21,Civil,6.62,5,73.98,8,9,6,5,1,3,1,10,1,4,6,96,73,4,2,1,9.27
2095,Male,24,ECE,8.06,4,85.76,1,9,2,3,1,2,6,7,5,1,7,48,44,3,3,0,0.0
2096,Male,22,IT,8.98,1,76.88,7,6,5,2,0,2,3,7,1,3,6,77,63,8,3,1,4.3
2097,Female,20,CSE,9.27,5,92.46,6,7,1,0,3,5,6,4,10,3,6,72,98,7,4,1,4.15
2098,Female,21,CSE,5.03,1,77.26,10,5,4,2,0,4,9,1,7,4,2,87,89,10,5,1,7.63
2099,Female,20,Civil,8.9,4,82.89,1,7,3,4,1,4,4,9,1,1,9,33,62,7,8,0,0.0
2100,Male,22,Mechanical,6.68,3,72.84,8,6,10,4,2,5,1,5,9,2,5,96,80,10,10,1,6.89
2101,Male,21,IT,8.45,4,88.16,5,5,5,5,0,2,2,8,10,0,8,51,75,6,10,0,0.0
2102,Male,24,Civil,6.78,4,86.19,7,3,8,3,0,3,5,1,3,4,9,36,89,2,10,0,0.0
2103,Male,23,IT,7.91,5,75.88,8,2,9,5,0,5,7,4,10,0,5,41,81,6,6,1,14.88
2104,Female,24,Mechanical,8.1,2,71.04,7,5,5,2,1,3,5,2,2,3,9,93,51,10,9,1,7.82
2105,Female,24,Mechanical,6.94,1,84.56,10,8,9,0,2,1,6,8,8,4,7,32,44,4,2,1,3.54
2106,Female,23,EEE,7.46,5,97.73,1,5,10,1,0,5,1,10,4,1,7,42,79,5,1,0,0.0
2107,Male,23,EEE,8.49,1,65.31,6,3,4,0,3,0,5,5,3,4,4,38,80,10,2,1,5.62
2108,Male,23,Mechanical,7.29,3,91.96,1,10,5,2,1,3,6,3,6,3,3,59,30,5,8,0,0.0
2109,Male,21,ECE,5.07,3,81.72,4,3,9,2,1,5,1,6,10,1,7,91,58,8,7,0,0.0
2110,Female,20,Civil,5.06,2,81.02,4,5,9,0,1,5,2,8,1,4,3,72,63,5,1,0,0.0
2111,Female,20,EEE,8.17,2,98.47,8,9,2,0,0,2,6,8,1,1,8,99,82,8,4,1,8.8
2112,Male,23,Mechanical,9.07,2,84.23,6,8,5,3,1,0,7,8,7,2,8,41,32,9,2,1,4.67
2113,Female,24,IT,8.77,3,93.22,7,7,8,4,1,4,2,7,7,1,10,86,77,8,10,1,13.44
2114,Male,22,Civil,6.49,4,80.58,10,5,1,5,2,2,1,9,10,0,1,76,49,2,5,1,11.76
2115,Male,23,EEE,7.26,5,69.99,7,9,4,3,1,2,6,1,8,1,9,45,94,4,4,1,13.64
2116,Female,24,ECE,6.12,1,87.78,7,2,8,0,0,4,10,10,7,0,1,87,36,8,1,1,6.82
2117,Male,24,Civil,9.75,1,96.93,10,6,10,0,1,3,5,2,5,1,4,43,49,5,1,1,13.29
2118,Female,21,Civil,6.25,5,93.65,2,7,2,1,2,4,3,4,10,2,1,35,72,10,8,0,0.0
2119,Male,21,CSE,7.0,0,67.93,6,7,1,4,1,2,9,2,7,2,9,94,86,2,5,1,4.01
2120,Female,20,IT,8.27,3,72.68,8,4,6,5,0,3,1,10,2,0,3,55,74,7,1,0,0.0
2121,Female,20,ECE,9.2,3,80.68,8,2,6,5,3,5,9,1,7,1,9,37,36,6,2,1,13.63
2122,Female,22,ECE,5.25,2,82.86,4,1,1,1,1,5,1,8,6,2,3,99,76,1,4,0,0.0
2123,Male,22,ECE,6.44,5,67.75,7,1,3,4,0,4,7,6,8,3,6,35,30,9,9,0,0.0
2124,Male,22,IT,7.73,0,69.2,9,3,10,4,1,3,1,4,7,2,10,56,89,10,2,0,0.0
2125,Female,22,ECE,7.97,0,90.35,8,7,8,2,1,5,6,4,7,4,6,81,84,3,9,1,14.2
2126,Female,24,CSE,5.34,3,89.21,2,5,9,4,0,0,9,10,6,2,9,58,69,3,3,0,0.0
2127,Male,24,EEE,8.19,2,93.57,8,7,8,5,1,3,7,8,1,3,8,78,32,9,6,1,10.47
2128,Male,20,IT,7.53,1,97.32,3,9,1,0,0,5,6,10,6,2,8,50,40,8,8,0,0.0
2129,Male,21,ECE,8.97,2,72.33,4,8,4,4,3,5,5,8,7,4,5,97,72,1,10,1,13.37
2130,Female,21,Mechanical,6.07,1,94.38,3,1,9,3,1,5,3,7,2,1,1,95,74,4,4,0,0.0
2131,Male,23,EEE,5.94,3,86.64,8,4,1,2,3,2,2,3,3,4,5,92,37,2,6,1,3.86
2132,Male,24,Civil,8.81,2,98.31,4,5,4,1,0,4,2,8,7,0,8,30,68,7,2,0,0.0
2133,Female,22,IT,8.38,0,70.88,1,7,10,5,1,3,9,10,7,2,4,38,72,9,6,0,0.0
2134,Male,22,Mechanical,8.8,5,70.79,9,8,7,4,1,1,3,4,1,4,3,60,62,10,8,1,8.82
2135,Male,23,Civil,8.75,4,88.17,9,8,7,1,1,4,7,9,2,0,2,97,58,4,7,1,6.97
2136,Male,21,Mechanical,5.5,0,97.14,1,4,7,0,2,4,4,7,9,4,10,97,99,2,6,0,0.0
2137,Female,22,ECE,6.34,5,92.98,8,7,10,1,1,1,7,4,7,4,4,36,47,5,10,1,7.76
2138,Female,21,IT,6.25,1,89.08,2,2,4,4,2,3,6,5,3,0,4,60,75,3,4,0,0.0
2139,Female,23,ECE,9.49,3,75.49,7,9,8,1,3,0,10,5,7,3,2,38,37,7,7,1,13.15
2140,Female,21,Civil,7.34,2,88.71,1,6,3,0,0,2,4,1,8,3,2,79,33,7,7,0,0.0
2141,Female,21,CSE,5.53,3,92.04,6,4,9,4,2,0,3,7,8,4,9,34,74,5,7,0,0.0
2142,Female,21,Mechanical,6.39,3,90.13,10,6,6,1,1,2,4,4,2,0,3,68,44,4,5,1,5.43
2143,Female,22,CSE,9.19,1,87.07,10,7,7,1,1,2,2,3,4,4,8,62,82,10,9,1,6.79
2144,Male,20,Civil,9.07,3,61.89,8,10,9,0,2,4,2,5,9,2,8,60,96,10,2,1,3.24
2145,Male,24,ECE,9.32,2,86.39,6,8,4,3,2,2,4,1,5,2,9,32,93,9,7,0,0.0
2146,Female,21,EEE,6.86,0,79.13,9,4,5,3,2,4,3,2,9,2,7,32,90,3,10,0,0.0
2147,Male,21,Mechanical,8.08,3,98.46,1,9,1,2,3,1,5,2,5,3,1,30,85,7,6,0,0.0
2148,Male,21,EEE,6.34,2,84.29,9,6,10,0,1,2,1,9,1,1,9,42,51,10,9,0,0.0
2149,Female,20,IT,5.87,2,84.33,3,1,8,3,0,1,7,3,5,4,4,34,51,3,2,0,0.0
2150,Male,23,Mechanical,5.11,1,99.76,2,3,2,1,2,0,4,1,4,1,6,36,73,5,6,0,0.0
2151,Male,22,CSE,6.07,3,63.74,8,1,5,0,0,4,6,7,1,2,8,76,84,2,6,1,8.21
2152,Male,20,EEE,7.9,1,71.05,10,6,5,1,2,4,2,2,4,2,6,36,72,4,4,1,14.26
2153,Male,21,Civil,9.34,0,86.24,5,6,10,1,2,3,4,8,3,4,6,95,49,2,2,1,10.04
2154,Male,20,IT,5.64,0,72.61,1,7,4,2,3,2,5,10,7,2,6,88,50,6,9,0,0.0
2155,Female,20,Mechanical,9.41,5,73.85,1,1,4,5,2,3,6,4,9,1,8,30,38,5,5,0,0.0
2156,Female,20,Civil,6.66,2,95.71,2,1,2,2,0,3,1,6,2,2,3,95,38,9,2,0,0.0
2157,Female,23,IT,7.05,3,83.17,7,5,3,4,1,1,4,1,4,1,1,59,51,6,10,0,0.0
2158,Male,24,CSE,6.75,5,64.11,2,5,10,5,1,4,2,7,10,2,10,69,73,7,3,0,0.0
2159,Female,22,Civil,6.96,2,72.43,9,1,2,0,3,5,10,10,8,2,1,54,84,3,2,1,14.7
2160,Male,23,Mechanical,6.24,3,63.04,6,7,1,3,1,1,1,8,9,1,6,66,64,9,2,0,0.0
2161,Male,23,IT,8.35,1,82.25,4,7,4,2,1,5,9,9,5,1,5,34,56,3,1,1,10.05
2162,Male,24,ECE,8.64,0,66.93,4,6,9,0,2,4,1,5,8,1,7,34,59,10,9,0,0.0
2163,Male,23,Mechanical,8.95,5,94.28,3,7,6,2,3,4,2,1,6,1,4,68,90,2,2,0,0.0
2164,Female,20,Mechanical,6.64,5,83.09,9,6,8,3,0,3,9,3,2,3,6,88,34,10,7,1,3.1
2165,Female,20,Mechanical,8.67,0,62.38,2,10,2,2,2,1,8,9,7,3,6,69,41,4,5,1,11.28
2166,Male,21,Mechanical,8.06,1,72.04,9,2,2,4,3,1,10,6,10,3,2,46,64,3,3,1,8.7
2167,Female,23,ECE,9.6,4,84.65,3,5,2,0,3,5,10,5,2,2,1,83,79,10,7,1,9.6
2168,Male,21,Civil,7.04,4,73.42,4,7,8,5,1,4,10,9,10,4,1,92,34,6,6,1,13.71
2169,Female,22,Civil,9.76,4,80.53,9,2,1,5,1,1,4,9,7,3,8,74,32,7,3,1,11.35
2170,Female,20,Civil,8.55,3,96.37,3,5,5,0,3,2,2,3,10,2,6,98,57,2,5,1,8.57
2171,Male,22,CSE,8.73,5,74.0,6,3,4,1,2,1,8,5,7,4,8,56,51,5,10,1,13.0
2172,Female,24,ECE,5.12,1,73.43,5,9,1,5,2,0,3,9,1,0,3,68,60,3,3,0,0.0
2173,Male,20,ECE,7.39,3,92.79,6,10,10,5,1,1,10,10,9,4,8,75,56,3,10,1,13.72
2174,Female,22,IT,7.54,3,72.75,5,1,7,4,2,2,1,9,10,0,5,95,36,10,3,1,4.29
2175,Male,24,EEE,5.19,1,63.12,3,7,1,2,1,5,2,7,10,4,8,90,50,4,6,0,0.0
2176,Male,22,Civil,6.5,3,67.24,2,10,6,1,0,1,4,1,9,2,1,72,65,9,7,0,0.0
2177,Female,24,EEE,9.59,5,97.95,10,4,1,2,0,2,1,9,6,2,1,34,86,10,1,0,0.0
2178,Female,24,IT,7.05,1,97.33,9,5,9,4,3,0,6,6,7,0,1,40,45,1,9,1,10.91
2179,Male,20,ECE,5.9,4,68.99,4,1,3,1,2,5,4,8,3,3,6,95,44,6,1,1,13.56
2180,Female,21,IT,7.46,4,82.14,10,5,2,3,0,3,6,3,8,1,9,30,70,1,4,1,12.05
2181,Female,24,Mechanical,5.16,3,65.49,6,8,7,0,1,4,5,7,3,3,7,62,61,3,6,0,0.0
2182,Male,24,IT,7.48,0,86.99,9,6,1,4,1,4,4,1,6,2,6,47,80,10,1,1,5.25
2183,Male,20,IT,7.85,1,67.41,5,2,7,4,3,4,7,1,8,4,10,63,48,5,1,1,8.21
2184,Female,21,Mechanical,6.72,2,61.99,7,2,9,2,0,0,7,8,2,4,5,52,74,4,1,1,13.77
2185,Male,23,EEE,8.66,2,93.0,5,9,4,3,1,0,4,2,8,3,4,87,89,1,8,1,14.9
2186,Male,23,Mechanical,5.65,3,73.02,9,1,10,3,3,2,4,1,5,4,4,40,33,1,8,1,4.83
2187,Male,21,CSE,9.22,0,64.34,2,2,2,5,0,0,4,8,5,2,5,70,42,8,8,0,0.0
2188,Female,22,IT,9.59,1,93.36,3,8,4,4,2,3,8,9,8,2,6,63,60,6,5,1,7.11
2189,Female,20,IT,5.01,4,90.5,5,6,9,4,1,2,5,2,2,3,3,97,77,10,9,1,5.58
2190,Male,21,EEE,9.05,3,87.35,2,3,8,0,3,3,5,3,3,4,1,84,30,10,8,1,4.26
2191,Female,23,ECE,7.43,1,96.45,6,3,5,3,0,3,9,5,9,1,1,89,91,1,8,1,4.16
2192,Male,24,Mechanical,7.21,1,79.57,10,9,8,4,3,5,10,2,9,2,6,44,53,10,5,1,14.21
2193,Female,23,ECE,6.15,1,65.12,3,2,7,0,2,1,6,6,9,1,7,48,68,8,10,0,0.0
2194,Male,24,CSE,7.15,0,62.45,5,10,4,2,2,4,4,2,3,1,6,57,95,9,2,0,0.0
2195,Male,20,Mechanical,9.56,1,72.74,5,5,3,3,0,3,7,4,1,3,3,57,88,10,2,1,9.07
2196,Female,24,CSE,6.01,0,63.47,10,7,1,1,2,4,8,8,7,3,8,44,46,2,5,1,7.67
2197,Male,21,CSE,5.86,0,81.42,8,6,3,1,2,2,7,1,1,3,1,39,93,5,7,1,12.36
2198,Female,24,CSE,6.16,5,60.58,9,1,8,4,0,4,6,10,10,0,3,57,74,10,2,1,8.56
2199,Female,22,Civil,7.65,1,77.75,4,10,9,4,3,0,2,4,6,3,9,41,31,8,10,0,0.0
2200,Male,21,Mechanical,9.47,5,67.14,10,3,9,5,3,4,5,3,3,0,5,93,80,1,7,1,13.53
2201,Male,20,Mechanical,7.75,4,74.73,1,5,5,0,2,0,6,1,3,0,9,74,97,8,3,0,0.0
2202,Female,21,Civil,6.17,5,87.0,5,3,4,4,1,1,2,4,7,0,1,45,30,5,7,0,0.0
2203,Male,22,EEE,7.11,5,74.04,4,3,6,4,1,1,9,10,1,0,1,59,42,1,5,1,10.66
2204,Male,20,Civil,6.87,1,73.65,5,5,7,0,0,3,10,1,8,1,5,64,68,8,4,1,4.94
2205,Male,23,IT,5.22,4,99.63,9,8,6,1,2,0,4,7,9,3,9,96,40,3,6,1,4.35
2206,Male,22,ECE,7.45,3,88.75,8,10,5,0,0,0,5,9,6,1,4,47,88,10,3,1,11.98
2207,Male,20,ECE,5.6,2,80.55,8,8,2,5,2,4,5,5,8,2,3,40,93,8,3,0,0.0
2208,Female,24,CSE,9.04,3,83.18,8,8,3,5,2,1,7,4,6,0,3,65,30,8,2,1,8.47
2209,Female,21,Mechanical,7.64,0,84.81,1,6,9,3,0,0,9,1,4,0,8,71,92,6,10,0,0.0
2210,Male,20,Mechanical,9.05,3,60.98,7,9,7,3,1,2,9,10,1,1,10,96,45,1,3,1,13.79
2211,Male,21,CSE,9.59,2,63.21,4,5,10,4,2,1,6,1,4,3,1,37,82,10,6,1,7.17
2212,Male,24,IT,9.53,2,85.97,6,10,2,4,3,3,9,7,7,0,8,95,81,8,4,1,6.14
2213,Female,20,ECE,5.48,4,74.58,4,7,1,5,2,3,4,9,2,2,10,94,32,3,9,0,0.0
2214,Male,23,Civil,9.54,3,62.22,5,1,1,1,1,5,5,3,8,3,6,44,38,8,10,0,0.0
2215,Female,22,EEE,8.82,0,71.9,5,4,1,1,3,1,5,1,9,1,1,32,55,10,8,1,10.77
2216,Female,20,IT,8.73,5,65.21,1,1,6,2,3,0,5,5,1,3,3,85,40,8,2,1,12.63
2217,Female,24,Mechanical,5.43,5,96.65,6,10,5,3,3,3,1,10,8,0,10,93,80,4,2,0,0.0
2218,Male,20,CSE,5.86,0,68.12,10,2,7,3,1,1,7,10,10,3,2,97,74,5,2,1,7.01
2219,Female,21,ECE,9.68,4,65.75,8,6,5,5,3,4,6,3,3,0,7,48,58,3,9,1,10.99
